id, sex, country
1313 , 1 , 3
1314 , 1 , 3
1315 , 2 , 3
1316 , 1 , 1
1317 , 1 , 2
1318 , 2 , 0
1319 , 2 , 0
1320 , 2 , 0
1321 , 1 , 2
1322 , 2 , 2
1323 , 1 , 2
1324 , 1 , 2
1325 , 1 , 2
1326 , 2 , 0
1327 , 1 , 0
1328 , 1 , 2
1329 , 1 , 1
1330 , 1 , 1
1331 , 1 , 1
1332 , 0 , 0
1333 , 1 , 1
1334 , 1 , 1
1335 , 1 , 1
1336 , 0 , 0
1337 , 1 , 2
1338 , 1 , 1
1339 , 1 , 1
1340 , 1 , 1
1341 , 1 , 1
1342 , 1 , 1
1343 , 1 , 1
1344 , 1 , 2
1345 , 1 , 2
1346 , 1 , 2
1347 , 1 , 1
1348 , 1 , 1
1349 , 2 , 2
1350 , 0 , 0
1351 , 0 , 0
1352 , 1 , 1
1353 , 1 , 2
1354 , 0 , 0
1355 , 2 , 2
1356 , 1 , 2
1357 , 0 , 0
1358 , 1 , 2
1359 , 1 , 2
